id,safra,idade,renda,tempo_emprego,utilizacao,n_atrasos_12m,dti,consultas_6m,tipo_ocupacao,possui_imovel,default
1,202407,25,2102.0,0.8,0.13,0,0.185,3,CLT,1,0
2,202301,58,2778.0,9.0,0.579,0,0.109,0,CLT,0,0
3,202405,53,4171.0,0.6,0.672,1,0.282,0,autonomo,0,0
4,202407,42,2659.0,11.7,0.714,0,0.395,0,servidor,1,0
5,202307,42,3168.0,2.4,0.212,2,0.502,0,CLT,0,0
6,202308,63,4540.0,0.5,0.485,0,0.404,0,CLT,0,1
7,202306,25,3058.0,1.1,0.272,0,0.367,0,servidor,1,0
8,202310,55,4077.0,5.8,0.294,0,0.143,0,autonomo,0,0
9,202407,30,8074.0,1.1,0.285,0,0.502,0,CLT,1,0
10,202306,25,3341.0,2.2,0.101,0,0.077,2,servidor,0,0
11,202302,46,6566.0,1.4,0.411,1,0.091,1,CLT,1,1
12,202302,68,4816.0,8.4,0.432,0,0.51,0,servidor,1,0
13,202304,57,1748.0,4.6,0.422,0,0.091,2,autonomo,0,1
14,202410,58,2098.0,8.6,0.554,0,0.436,1,CLT,0,0
15,202307,56,2400.0,0.5,0.67,1,0.166,1,servidor,0,0
16,202406,59,2375.0,2.0,0.072,0,0.08,2,CLT,0,0
17,202410,46,3480.0,0.4,0.181,1,0.14,1,CLT,0,0
18,202302,27,4951.0,2.7,0.198,0,0.356,0,CLT,0,0
19,202410,62,6820.0,1.7,0.728,0,0.225,1,autonomo,0,0
20,202409,43,4248.0,0.0,0.505,0,0.366,3,servidor,0,0
21,202306,45,2914.0,1.2,0.491,0,0.444,2,servidor,0,0
22,202311,39,1285.0,1.3,0.383,0,0.341,1,CLT,0,1
23,202401,29,3772.0,4.6,0.085,0,0.307,1,autonomo,1,0
24,202304,66,3688.0,0.1,0.522,0,0.249,0,autonomo,1,0
25,202412,59,3990.0,22.0,0.397,0,0.159,0,aposentado,0,0
26,202401,52,10437.0,5.5,0.146,0,0.531,1,aposentado,0,0
27,202305,40,6770.0,6.6,0.292,0,0.623,1,CLT,0,0
28,202404,61,5391.0,1.4,0.166,0,0.082,0,CLT,0,0
29,202306,47,2251.0,2.9,0.529,0,0.125,0,CLT,0,0
30,202406,42,2817.0,14.1,0.321,1,0.376,2,CLT,0,0
31,202303,43,3472.0,4.0,0.444,0,0.159,1,autonomo,1,0
32,202405,32,2471.0,18.1,0.525,2,0.346,0,autonomo,0,0
33,202411,25,4676.0,0.6,0.18,0,0.44,0,servidor,1,0
34,202309,48,4352.0,46.9,0.106,0,0.074,1,CLT,0,0
35,202302,64,2113.0,3.2,0.095,0,0.685,1,servidor,0,0
36,202306,24,6624.0,0.5,0.508,0,0.353,1,CLT,0,0
37,202312,63,3832.0,12.8,0.687,0,0.113,1,CLT,1,0
38,202406,61,1534.0,1.3,0.464,1,0.186,2,servidor,1,1
39,202410,34,3549.0,3.4,0.24,0,0.151,2,CLT,0,1
40,202305,51,4191.0,0.6,0.492,1,0.128,0,autonomo,1,1
41,202402,29,5922.0,2.9,0.075,1,0.34,0,aposentado,0,0
42,202311,58,3076.0,0.5,0.293,0,0.301,1,CLT,0,0
43,202411,55,5508.0,1.8,0.684,0,0.176,1,CLT,0,0
44,202307,38,3998.0,2.3,0.286,3,0.292,2,CLT,1,0
45,202310,24,1886.0,8.6,0.464,1,0.32,1,CLT,1,0
46,202302,68,1794.0,1.9,0.848,0,0.286,0,autonomo,1,0
47,202407,42,6382.0,1.9,0.178,0,0.185,0,servidor,0,0
48,202306,64,6621.0,3.5,0.715,0,0.181,2,aposentado,1,0
49,202309,54,4279.0,0.6,0.325,1,0.276,0,CLT,1,0
50,202311,59,7691.0,2.9,0.252,0,0.118,1,CLT,0,0
51,202305,58,6175.0,2.9,0.156,0,0.164,1,servidor,1,0
52,202301,30,5125.0,5.6,0.489,0,0.072,0,aposentado,0,0
53,202310,38,2308.0,0.6,0.117,0,0.484,0,autonomo,0,1
54,202307,43,8653.0,1.3,0.1,1,0.247,1,CLT,0,0
55,202303,45,4761.0,8.6,0.211,0,0.487,5,servidor,1,0
56,202403,23,3002.0,2.7,0.533,0,0.086,2,servidor,1,0
57,202305,47,2607.0,2.9,0.282,0,0.23,2,autonomo,1,0
58,202405,28,4140.0,2.7,0.229,0,0.338,3,CLT,0,1
59,202312,57,1579.0,0.9,0.617,0,0.412,0,aposentado,1,0
60,202412,54,5166.0,8.7,0.088,0,0.345,0,CLT,1,0
61,202407,66,2260.0,9.5,0.665,0,0.211,1,CLT,0,0
62,202304,57,4382.0,3.0,0.387,0,0.208,1,autonomo,1,0
63,202410,38,2805.0,3.0,0.315,0,0.511,0,CLT,1,0
64,202311,68,3190.0,5.5,0.183,0,0.251,0,aposentado,0,0
65,202411,41,2494.0,13.7,0.406,0,0.598,1,servidor,0,1
66,202310,36,3359.0,31.9,0.175,0,0.257,2,CLT,1,0
67,202412,65,9365.0,0.9,0.621,1,0.186,0,servidor,1,0
68,202310,39,7277.0,1.8,0.482,1,0.297,2,aposentado,0,0
69,202311,24,4347.0,2.2,0.755,1,0.316,1,CLT,1,0
70,202408,44,3595.0,5.1,0.226,1,0.017,1,CLT,1,0
71,202301,59,5553.0,7.0,0.127,1,0.186,2,CLT,1,0
72,202303,30,6406.0,3.6,0.181,1,0.134,0,aposentado,0,0
73,202412,43,2404.0,0.5,0.859,1,0.185,3,CLT,1,0
74,202409,27,3503.0,1.9,0.43,0,0.094,0,autonomo,0,0
75,202304,54,1464.0,8.0,0.411,0,0.391,1,CLT,0,0
76,202303,44,6384.0,6.7,0.307,0,0.243,0,CLT,0,1
77,202312,37,10224.0,0.3,0.632,0,0.145,2,servidor,1,0
78,202312,32,3790.0,5.2,0.199,1,0.292,3,CLT,0,0
79,202304,48,1258.0,5.4,0.362,0,0.113,0,CLT,1,0
80,202303,53,4937.0,12.6,0.462,0,0.606,1,autonomo,1,0
81,202308,67,2317.0,21.0,0.612,0,0.111,0,autonomo,0,0
82,202303,42,2613.0,0.0,0.451,2,0.015,1,autonomo,1,0
83,202305,28,4981.0,6.3,0.691,0,0.12,1,autonomo,0,1
84,202309,61,4135.0,5.0,0.176,0,0.145,1,CLT,0,1
85,202311,51,2852.0,0.0,0.284,0,0.023,0,autonomo,1,0
86,202401,55,2631.0,1.4,0.649,0,0.472,2,servidor,1,0
87,202411,25,3877.0,4.3,0.37,0,0.499,0,CLT,1,1
88,202307,36,2967.0,9.6,0.602,0,0.413,0,CLT,1,0
89,202302,58,2091.0,16.2,0.365,0,0.305,1,autonomo,1,0
90,202411,61,3083.0,1.7,0.444,0,0.076,0,autonomo,0,1
91,202405,42,4315.0,3.2,0.114,2,0.238,1,servidor,1,0
92,202409,60,3331.0,6.2,0.564,0,0.294,1,servidor,0,1
93,202308,62,1796.0,3.4,0.456,0,0.321,0,servidor,1,0
94,202305,39,5970.0,6.2,0.134,0,0.479,0,servidor,0,0
95,202306,65,926.0,7.8,0.358,0,0.172,0,CLT,0,0
96,202309,35,2913.0,9.7,0.227,0,0.452,2,servidor,0,0
97,202410,32,2670.0,6.2,0.795,1,0.407,1,CLT,0,0
98,202304,54,3921.0,5.8,0.285,0,0.112,1,autonomo,1,1
99,202307,52,4821.0,2.0,0.082,2,0.287,0,CLT,1,0
100,202406,27,6396.0,1.4,0.64,2,0.208,0,autonomo,1,1
101,202307,61,2550.0,11.8,0.553,1,0.313,1,servidor,0,0
102,202412,30,4882.0,5.5,0.31,0,0.623,2,CLT,1,0
103,202312,60,4015.0,5.6,0.379,0,0.133,0,servidor,0,0
104,202402,21,1547.0,0.5,0.47,1,0.25,0,CLT,1,1
105,202307,60,9417.0,6.4,0.498,1,0.073,2,CLT,0,0
106,202408,59,1773.0,0.0,0.324,0,0.255,1,CLT,0,0
107,202406,59,4491.0,1.9,0.454,0,0.381,1,servidor,0,0
108,202302,53,4425.0,2.2,0.572,3,0.332,3,autonomo,1,1
109,202311,44,4179.0,7.3,0.109,1,0.463,3,CLT,1,0
110,202407,55,2843.0,2.0,0.16,0,0.215,0,servidor,1,0
111,202303,34,5506.0,4.8,0.251,0,0.117,0,servidor,1,1
112,202309,59,1669.0,5.2,0.158,0,0.288,1,autonomo,0,0
113,202307,48,3523.0,20.2,0.801,1,0.383,3,aposentado,0,0
114,202410,43,2746.0,11.6,0.15,2,0.142,2,autonomo,0,0
115,202301,45,2595.0,5.8,0.587,0,0.331,0,servidor,0,0
116,202309,48,4511.0,1.2,0.12,1,0.27,2,CLT,0,0
117,202412,22,6240.0,5.3,0.225,1,0.365,0,servidor,0,1
118,202310,27,3067.0,3.5,0.535,2,0.3,0,CLT,0,0
119,202401,33,5379.0,0.3,0.662,2,0.011,0,CLT,1,0
120,202401,26,3733.0,7.0,0.141,0,0.26,0,CLT,0,0
121,202411,42,2330.0,1.9,0.507,1,0.331,2,servidor,0,1
122,202407,53,3200.0,3.9,0.077,1,0.56,0,CLT,1,1
123,202408,53,3135.0,6.4,0.148,0,0.596,2,CLT,0,1
124,202401,44,2570.0,10.4,0.589,0,0.46,2,CLT,1,0
125,202304,62,4511.0,5.0,0.781,0,0.181,0,autonomo,0,1
126,202408,48,4094.0,13.8,0.654,0,0.339,1,autonomo,0,0
127,202308,24,1644.0,0.2,0.639,0,0.374,4,aposentado,0,1
128,202306,58,1594.0,1.7,0.441,0,0.315,3,CLT,1,0
129,202305,49,4502.0,8.6,0.289,0,0.43,4,autonomo,0,0
130,202403,52,2422.0,4.6,0.709,0,0.157,0,CLT,1,0
131,202401,48,4235.0,2.5,0.459,0,0.314,1,CLT,1,0
132,202404,48,5380.0,2.3,0.238,1,0.134,1,CLT,0,1
133,202307,25,1929.0,7.1,0.128,0,0.314,1,autonomo,1,0
134,202306,48,1798.0,1.3,0.234,0,0.491,3,aposentado,0,0
135,202401,59,8410.0,11.8,0.355,2,0.438,2,CLT,1,0
136,202404,35,4341.0,2.6,0.3,1,0.247,2,CLT,1,0
137,202404,50,2952.0,0.4,0.588,0,0.018,0,autonomo,0,0
138,202310,22,2283.0,6.0,0.152,0,0.386,2,aposentado,1,0
139,202305,38,2821.0,0.5,0.418,1,0.182,1,CLT,1,1
140,202306,42,2008.0,7.8,0.058,0,0.7,1,CLT,1,0
141,202307,69,5663.0,2.5,0.242,1,0.635,4,aposentado,0,0
142,202410,31,2469.0,7.7,0.721,0,0.061,0,CLT,1,0
143,202307,34,6290.0,5.0,0.214,2,0.425,0,aposentado,0,0
144,202412,41,2980.0,2.1,0.525,0,0.392,1,CLT,1,0
145,202405,69,2161.0,4.4,0.109,1,0.363,3,CLT,1,0
146,202309,62,2942.0,6.6,0.236,0,0.1,0,autonomo,0,0
147,202410,22,980.0,0.9,0.39,2,0.146,1,servidor,0,0
148,202402,32,3428.0,4.8,0.618,0,0.096,5,CLT,1,1
149,202401,61,3344.0,1.2,0.442,2,0.207,0,CLT,1,0
150,202402,23,5499.0,0.7,0.429,1,0.073,0,CLT,0,1
151,202305,62,1418.0,8.8,0.167,0,0.151,2,CLT,1,0
152,202410,34,6509.0,1.8,0.371,2,0.307,1,CLT,0,0
153,202301,65,5488.0,13.2,0.394,1,0.457,2,CLT,1,0
154,202306,35,6809.0,6.6,0.336,0,0.062,0,aposentado,1,0
155,202305,42,3546.0,0.7,0.662,0,0.317,2,CLT,1,1
156,202306,53,6045.0,2.9,0.176,1,0.123,0,autonomo,0,1
157,202401,27,1745.0,5.6,0.118,0,0.076,2,CLT,1,0
158,202301,48,5201.0,9.5,0.397,0,0.543,3,aposentado,1,0
159,202311,45,2476.0,8.6,0.539,0,0.159,2,CLT,1,0
160,202311,59,1594.0,4.7,0.443,0,0.183,1,CLT,0,0
161,202409,69,2075.0,13.2,0.555,0,0.356,3,CLT,1,0
162,202402,53,3651.0,2.3,0.722,0,0.164,0,CLT,1,0
