variavel,faixa,n,pct,taxa_default,woe,iv,pontos
idade,"(-inf, 30.0]",1273,0.212,0.271,-0.324,0.024,-7
idade,"(30.0, 40.0]",1178,0.197,0.221,-0.053,0.001,44
idade,"(40.0, 49.0]",1188,0.198,0.215,-0.017,0.0,51
idade,"(49.0, 59.0]",1173,0.196,0.18,0.202,0.008,92
idade,"(59.0, inf]",1179,0.197,0.169,0.279,0.014,107
renda,"(-inf, 2420.0]",1199,0.2,0.251,-0.221,0.01,10
renda,"(2420.0, 3206.0]",1199,0.2,0.224,-0.069,0.001,40
renda,"(3206.0, 5554.0]",2395,0.4,0.208,0.024,0.0,59
renda,"(5554.0, inf]",1198,0.2,0.169,0.275,0.014,109
tempo_emprego,"(-inf, 4.6]",3626,0.605,0.232,-0.119,0.009,29
tempo_emprego,"(4.6, 8.1]",1186,0.198,0.209,0.016,0.0,57
tempo_emprego,"(8.1, inf]",1179,0.197,0.152,0.405,0.029,139
utilizacao,"(-inf, 0.207]",1202,0.201,0.121,0.663,0.072,175
utilizacao,"(0.207, 0.326]",1203,0.201,0.162,0.328,0.02,114
utilizacao,"(0.326, 0.441]",1199,0.2,0.219,-0.04,0.0,47
utilizacao,"(0.441, 0.582]",1195,0.199,0.254,-0.234,0.012,11
utilizacao,"(0.582, inf]",1192,0.199,0.305,-0.492,0.055,-36
n_atrasos_12m,"(-inf, 0.0]",4006,0.669,0.174,0.242,0.037,101
n_atrasos_12m,"(0.0, 1.0]",1594,0.266,0.256,-0.247,0.017,7
n_atrasos_12m,"(1.0, inf]",391,0.065,0.419,-0.989,0.08,-136
dti,"(-inf, 0.142]",1212,0.202,0.141,0.491,0.042,151
dti,"(0.142, 0.224]",1190,0.199,0.163,0.321,0.019,117
dti,"(0.224, 0.422]",2398,0.4,0.226,-0.08,0.003,38
dti,"(0.422, inf]",1191,0.199,0.306,-0.493,0.055,-43
consultas_6m,"(-inf, 0.0]",1819,0.304,0.159,0.348,0.033,120
consultas_6m,"(0.0, 2.0]",3481,0.581,0.221,-0.056,0.002,44
consultas_6m,"(2.0, inf]",691,0.115,0.302,-0.479,0.03,-36
possui_imovel,"(-inf, 0.0]",2953,0.493,0.25,-0.213,0.024,14
possui_imovel,"(0.0, inf]",3038,0.507,0.175,0.234,0.026,98
tipo_ocupacao,CLT+aposentado,3608,0.602,0.2,0.076,0.003,70
tipo_ocupacao,autonomo,1470,0.245,0.271,-0.326,0.029,-12
tipo_ocupacao,servidor,913,0.152,0.165,0.303,0.013,116
